Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-357806.16734087374,282.7287365209094,899484.0,1154.6649550706034,44328,779,0,0,0
2,-360892.581315982,912.0086130981446,913917.0,1186.9051948051947,45928,770,0,0,0
3,-355761.00555219356,1603.0047354329427,863841.0,1097.6378653113088,44190,787,0,0,0
4,-345284.1179996006,2418.767840230306,861287.0,1095.7849872773536,46277,786,0,0,0
5,-459408.0628842897,3334.0011306966144,1144697.0,1504.2010512483573,44696,761,0,0,0
6,-363286.937213756,5113.188177164713,885010.0,1133.1754161331626,41333,781,0,0,0
7,-367077.5032386686,6338.8420543619795,909105.0,1171.5270618556701,44612,776,0,0,0
8,-443195.0424651315,7898.934693684896,1144039.0,1503.3363994743759,44048,761,0,0,0
9,-374379.9551220454,10180.146779134115,944486.0,1206.2401021711366,44127,783,0,0,0
10,-313870.27129642817,10321.688143229167,782489.0,994.2681067344346,42428,787,0,0,0
11,-316262.1290265344,11040.03861702474,811708.0,1015.9048811013768,44706,799,0,0,0
12,-297500.09445236565,12015.281703938803,746113.0,931.4769038701623,45160,801,0,0,0
13,-347796.9439377713,14018.909632486979,844542.0,1069.040506329114,40312,790,0,0,0
14,-285960.0813758934,16948.629816894532,705033.0,885.7198492462312,43370,796,0,0,0
15,-383685.1422485996,16808.523233072916,951703.0,1215.457215836526,44445,783,0,0,0
16,-300454.2548984754,17246.007759114582,760052.0,960.8748419721871,42776,791,0,0,0
17,-319628.86570781167,19335.018856282553,795585.0,1010.9085133418043,43437,787,0,0,0
18,-270351.201838523,23581.99730761719,659394.0,827.3450439146801,40939,797,0,0,0
19,-377801.7941212122,26087.917725260417,949984.0,1225.7858064516129,45386,775,0,0,0
20,-198120.5255212952,28086.138272460936,472976.0,583.920987654321,38331,810,0,0,0
21,-321316.78079606884,28424.038726888022,810208.0,1017.8492462311558,44711,796,0,0,0
22,-256431.2283000052,28320.239958007813,591988.0,734.4764267990074,41968,806,0,0,0
23,-412654.6964572115,31416.860079101563,1034715.0,1318.1082802547771,43765,785,0,0,0
24,-332828.85604741727,36376.81732519531,814509.0,1040.2413793103449,43081,783,0,0,0
25,-320099.397650491,37310.55058626302,832160.0,1082.1326397919377,43590,769,0,0,0
26,-284378.59345826745,35832.5607421875,710556.0,878.3139678615574,44934,809,0,0,0
27,-327505.18843639595,36262.736578125,790143.0,981.544099378882,42031,805,0,0,0
28,-406251.66723760375,40811.384237630205,975910.0,1247.9667519181585,43189,782,0,0,0
29,-291656.993635016,41858.76454199219,730009.0,927.5844980940279,39979,787,0,0,0
30,-328610.1323018189,38235.29720735677,834419.0,1058.9073604060914,43939,788,0,0,0
31,-288371.1573063662,46912.83686848958,703922.0,889.914032869785,40761,791,0,0,0
32,-377056.9613277067,57570.179296875,913212.0,1155.9645569620254,41555,790,0,0,0
33,-193473.12855674143,53605.8233359375,476954.0,588.8320987654321,38776,810,0,0,0
34,-300900.7105313096,49830.767962890626,718004.0,878.8298653610772,41296,817,0,0,0
35,-321864.2375736024,49913.42270052083,818707.0,1028.5263819095478,43920,796,0,0,0
36,-287457.66449105466,52451.43569140625,676760.0,842.7895392278954,42693,803,0,0,0
37,-304806.5057787253,55711.40471549479,753747.0,952.9039190897598,42106,791,0,0,0
38,-349534.80898165907,55871.482116536456,854777.0,1079.263888888889,42503,792,0,0,0
39,-234154.5696199812,63525.522762369794,535183.0,671.4968632371392,39544,797,0,0,0
40,-212099.943450439,57279.89046028646,502339.0,625.5778331257783,37726,803,0,0,0
41,-332306.8449530264,57608.29382486979,831548.0,1060.6479591836735,42807,784,0,0,0
42,-312130.64981628326,67288.0039967448,744550.0,934.1907151819322,43078,797,0,0,0
43,-331496.14792852977,72194.55765169271,815717.0,1022.2017543859649,43651,798,0,0,0
44,-273090.4637015217,73657.2809296875,665578.0,834.0576441102756,41190,798,0,0,0
45,-230069.82506334657,70584.81425716146,539019.0,675.4624060150376,38181,798,0,0,0
46,-248395.46648650742,71163.4690891927,588092.0,726.9369592088999,40655,809,0,0,0
47,-327363.34958412696,82975.71980989583,790658.0,985.857855361596,43123,802,0,0,0
48,-278843.93657159345,86747.69321549479,669304.0,824.2660098522167,42665,812,0,0,0
49,-209234.33706073838,83026.43946744791,479542.0,586.954712362301,40726,817,0,0,0
50,-274594.93646456854,71092.00258723958,681531.0,854.0488721804511,41780,798,0,0,0
51,-328821.09280209226,74805.99872330729,783594.0,1007.1902313624679,40769,778,0,0,0
52,-230883.04122598507,76249.79832226562,561874.0,691.1119311193112,42477,813,0,0,0
53,-315711.6994306745,75901.868234375,758314.0,953.8540880503144,42129,795,0,0,0
54,-208401.5578018335,82393.97284895834,491938.0,606.5819975339087,37422,811,0,0,0
55,-284139.0060060122,80996.85664973958,674774.0,836.1511771995043,40962,807,0,0,0
56,-303658.2870475409,79281.86268164063,725510.0,904.6259351620947,43263,802,0,0,0
57,-357189.80325923645,78569.42963411458,882113.0,1123.7108280254777,42276,785,0,0,0
58,-225179.72415711658,77277.95073828124,528831.0,653.6847960444994,38133,809,0,0,0
59,-147540.16962226477,78042.56803645834,330303.0,404.78308823529414,35524,816,0,0,0
60,-188406.0334547507,82393.02002734375,434343.0,537.5532178217821,36122,808,0,0,0
61,-236595.3257350065,81094.11891341145,578785.0,729.8675914249685,38951,793,0,0,0
62,-198035.46290038363,77716.30593619791,483838.0,605.5544430538173,37030,799,0,0,0
63,-247647.7145276293,80198.7949453125,554759.0,684.8876543209876,41674,810,0,0,0
64,-255154.8481904641,90747.67020247396,616438.0,772.4786967418546,39088,798,0,0,0
65,-169642.79806294534,89892.83676171875,410599.0,508.1670792079208,35096,808,0,0,0
66,-199419.42060781614,88316.28158138022,461838.0,573.711801242236,36931,805,0,0,0
67,-289185.3385468592,99559.29041927084,675717.0,827.0709914320686,40779,817,0,0,0
68,-290199.0248103354,99554.76206380209,700111.0,881.7518891687657,41558,794,0,0,0
69,-202040.02129451645,91042.22703841145,479859.0,596.8395522388059,35516,804,0,0,0
70,-247700.84591213954,86316.78011132813,585731.0,720.4563345633456,42389,813,0,0,0
71,-122922.71267396066,82892.16060286458,261671.0,320.2827417380661,31798,817,0,0,0
72,-203010.7690358585,79278.27445442708,479610.0,588.4785276073619,37502,815,0,0,0
73,-221580.3347812792,79455.34484765625,488849.0,598.3463892288862,39930,817,0,0,0
74,-134273.20431273952,78916.564546875,295637.0,361.8567931456548,34473,817,0,0,0
75,-178197.7429226238,77867.04535351563,432108.0,530.1938650306748,36094,815,0,0,0
76,-191900.20941901658,70644.72996940104,475029.0,593.78625,35217,800,0,0,0
77,-248944.27087201757,71831.74556966146,601927.0,765.8104325699745,36978,786,0,0,0
78,-323796.60296915163,79236.40226497396,827630.0,1051.6264294790344,42118,787,0,0,0
79,-149829.76922971537,79727.36305143229,352778.0,433.3882063882064,35179,814,0,0,0
80,-242948.28218758834,79406.18424674479,589834.0,738.2152690863579,39130,799,0,0,0
81,-97672.33603480819,70314.3433873698,205227.0,251.19583843329252,31142,817,0,0,0
82,-134269.6780145098,62058.85010742187,292880.0,359.36196319018404,34310,815,0,0,0
83,-212790.19306719798,56436.16579101563,519509.0,653.4704402515723,34464,795,0,0,0
84,-171201.92703378986,60634.19807617187,446817.0,555.7425373134329,32380,804,0,0,0
85,-227111.77021030302,63150.60446875,540869.0,670.2218091697646,39346,807,0,0,0
86,-198581.52158231902,65461.93574479167,437039.0,534.9314565483476,38135,817,0,0,0
87,-278633.35663583304,59169.20251367187,692787.0,887.0512163892446,35442,781,0,0,0
88,-157263.21174483997,59805.45252408854,358371.0,439.71901840490796,34137,815,0,0,0
89,-200532.35438997022,63584.08668098958,498958.0,612.970515970516,37547,814,0,0,0
90,-390455.60628746194,71003.39405859375,953829.0,1222.8576923076923,41620,780,0,0,0
91,-198242.90021888597,79719.33362239583,476686.0,587.7755856966708,39568,811,0,0,0
92,-196603.0539290092,75065.5898828125,497313.0,612.4544334975369,36709,812,0,0,0
93,-133155.50785394938,68770.2203984375,297168.0,367.7821782178218,33927,808,0,0,0
94,-166259.96681396538,67160.48655013021,402754.0,497.84177997527814,34499,809,0,0,0
95,-143106.09557394398,68263.62241927083,349155.0,427.3623011015912,34669,817,0,0,0
96,-163450.25333109405,63790.459034505206,386460.0,473.0232558139535,36539,817,0,0,0
97,-195459.80705766001,64543.812104817705,492855.0,616.8397997496871,35572,799,0,0,0
98,-281416.9147001398,57573.730522786456,679320.0,858.811630847029,36554,791,0,0,0
99,-168178.2332228515,48104.40372233073,409322.0,507.2143742255266,35033,807,0,0,0
100,-133665.71675997347,51014.59894140625,300728.0,372.18811881188117,32512,808,0,0,0
101,-164295.76828879566,54830.903956705726,360015.0,441.7361963190184,33481,815,0,0,0
102,-173054.7678160382,52729.12836425781,432333.0,534.4042027194067,35415,809,0,0,0
103,-149945.1626259667,48664.89339453125,345445.0,429.65796019900495,33742,804,0,0,0
104,-182923.71776796496,52086.77600130208,423399.0,520.1461916461916,37222,814,0,0,0
105,-224338.38453159743,57555.07170963542,556428.0,688.6485148514852,37752,808,0,0,0
106,-103352.182803896,50771.375561197914,260125.0,318.78063725490193,30242,816,0,0,0
107,-136251.49006219328,52795.43934309896,302390.0,370.12239902080785,32808,817,0,0,0
108,-156799.64116117646,57852.378802734376,346751.0,428.6168108776267,34461,809,0,0,0
109,-95317.31456786273,55953.779134114586,196106.0,240.03182374541004,32895,817,0,0,0
110,-146747.3672471162,57140.69831705729,334022.0,409.8429447852761,34831,815,0,0,0
111,-142008.5653860129,54333.94866731771,336065.0,412.3496932515337,34751,815,0,0,0
112,-252756.1243570516,55012.53816731771,580250.0,722.6027397260274,37091,803,0,0,0
113,-211831.6038814548,49260.97783789063,525325.0,647.7496917385944,37144,811,0,0,0
114,-194801.36624367032,48666.98928515625,476575.0,594.9750312109862,36439,801,0,0,0
115,-184162.29595747602,54523.43640494792,430717.0,529.7872078720787,38431,813,0,0,0
116,-169132.2003989227,54863.501069661455,411658.0,503.8653610771114,34066,817,0,0,0
117,-144533.97634730945,46860.97985351562,357410.0,438.5398773006135,32714,815,0,0,0
118,-109709.38126929186,43457.43077604166,244004.0,303.4875621890547,31981,804,0,0,0
119,-235644.05772469784,54499.60548828125,596448.0,739.092936802974,41571,807,0,0,0
120,-164406.24904281553,52711.69970117188,397281.0,499.7245283018868,33282,795,0,0,0
121,-158407.84736134228,49379.329740234374,365546.0,454.0944099378882,31412,805,0,0,0
122,-133454.46946290717,50464.35329036458,312708.0,385.58323057953146,32340,811,0,0,0
123,-195238.7453878533,53172.69984830729,496178.0,608.8073619631901,34063,815,0,0,0
124,-133693.70900848156,49435.82763606771,303666.0,371.6842105263158,34898,817,0,0,0
125,-92239.81509185239,49988.670161458336,184191.0,225.44798041615667,30709,817,0,0,0
126,-151609.86003938995,51573.59044205729,353445.0,432.61321909424726,35037,817,0,0,0
127,-146179.07710042177,49680.18158528646,334958.0,409.98531211750304,34634,817,0,0,0
128,-110832.35299793798,45162.57861523437,251938.0,308.36964504283964,32057,817,0,0,0
129,-94527.96552248413,42513.944434895835,196428.0,240.42594859241126,31161,817,0,0,0
130,-194072.69917232278,43825.81098079427,467067.0,583.1048689138577,36988,801,0,0,0
131,-186007.00355269626,39867.74468359375,440188.0,545.462205700124,35313,807,0,0,0
132,-139292.01035537076,40220.8057578125,322286.0,394.4749082007344,34639,817,0,0,0
133,-160686.35897568107,38572.9758453776,399075.0,490.8671586715867,33194,813,0,0,0
134,-331019.1783085552,39990.011444010415,806075.0,1002.5808457711443,37143,804,0,0,0
135,-227976.08546458976,45206.17897460938,535195.0,665.6654228855722,36316,804,0,0,0
136,-123683.9323956064,40799.96150748698,294318.0,362.4605911330049,31722,812,0,0,0
137,-313152.29694992525,38833.49870019531,767332.0,981.2429667519182,36096,782,0,0,0
138,-458994.79753748106,43438.74153157552,1153722.0,1490.5968992248063,43505,774,0,0,0
139,-111497.46275572405,40418.96361165365,263783.0,322.86780905752755,31705,817,0,0,0
