Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-356323.04606549715,608.8766020819327,840435.0,428.7933673469388,119585,1960,0,0,0
2,-344898.57521305454,681.71170509847,797295.0,404.92381919756224,121868,1969,0,0,0
3,-333875.6683031089,1097.1352371215821,793752.0,399.0708898944193,122606,1989,0,0,0
4,-338087.459363499,1591.4425376993815,783054.0,404.8883143743537,122992,1934,0,0,0
5,-321517.1818946622,2128.8372619222005,750624.0,371.78008915304605,124056,2019,0,0,0
6,-321602.7316436708,2818.5257755533853,746078.0,370.44587884806356,124054,2014,0,0,0
7,-323264.7691311942,3842.5731409098307,743512.0,370.45939212755354,124995,2007,0,0,0
8,-306278.98273357097,4801.72416796875,701492.0,340.69548324429337,127292,2059,0,0,0
9,-312210.4398478929,5646.337643961589,722114.0,358.72528564331844,126653,2013,0,0,0
10,-325640.17436243495,6640.854674967448,761890.0,382.66700150678054,122183,1991,0,0,0
11,-307406.84535533196,7363.43453149414,713075.0,350.0613647520864,127409,2037,0,0,0
12,-325296.8062837419,8224.034845621745,756394.0,374.08209693372896,124686,2022,0,0,0
13,-309702.5887093021,9311.433994791667,718731.0,347.3808603189947,127347,2069,0,0,0
14,-298188.68539956823,10188.85083251953,677982.0,319.80283018867925,130207,2120,0,0,0
15,-336268.8238446547,10836.800301920573,808564.0,401.8707753479125,124311,2012,0,0,0
16,-320150.2783649438,11464.3645,755199.0,375.5340626553953,124294,2011,0,0,0
17,-305664.31531268073,12177.883869140625,719787.0,351.11560975609757,126872,2050,0,0,0
18,-306524.11351576226,13604.203607747395,725489.0,351.4966085271318,127562,2064,0,0,0
19,-298092.4433464242,14735.056370605469,698233.0,333.2854415274463,127449,2095,0,0,0
20,-294450.8197465589,13634.23540657552,676834.0,329.3596107055961,129772,2055,0,0,0
21,-296224.2685921762,13183.591088541667,696760.0,340.38104543234,128667,2047,0,0,0
22,-315454.80820713216,12790.210380533854,753709.0,369.6463952918097,126492,2039,0,0,0
23,-305430.5064394644,13708.723448404948,710371.0,349.42006886374816,128011,2033,0,0,0
24,-280467.1829985421,13467.368072753907,635145.0,304.47986577181206,130624,2086,0,0,0
25,-304697.690905223,13442.713510579428,702810.0,341.0043668122271,127910,2061,0,0,0
26,-284243.7243358346,13900.947534016927,661277.0,321.32021379980563,127454,2058,0,0,0
27,-291208.3449941446,14794.496527994792,682669.0,322.6224007561437,131075,2116,0,0,0
28,-303781.5744859165,15074.611143717448,711237.0,348.1336270190896,127965,2043,0,0,0
29,-292275.61796739325,15008.313383951823,678886.0,322.20503084954913,130579,2107,0,0,0
30,-314700.3328675659,15216.2347265625,731137.0,368.1455186304129,126797,1986,0,0,0
31,-293845.3421338904,15931.398026367187,687986.0,331.0808469682387,127748,2078,0,0,0
32,-285582.881593412,17765.83319889323,658779.0,320.57372262773725,129308,2055,0,0,0
33,-281716.61089200136,17139.91435904948,639968.0,303.87844254510924,129623,2106,0,0,0
34,-278680.15876403585,15800.219732421874,638607.0,308.6549057515708,131367,2069,0,0,0
35,-283159.06300586433,15793.527993164062,655299.0,312.195807527394,131827,2099,0,0,0
36,-289043.40719818673,16516.365188802083,672680.0,321.70253467240553,130863,2091,0,0,0
37,-272635.63788849296,17476.671357747397,623863.0,296.9362208472156,133434,2101,0,0,0
38,-277033.20002098,17747.310782063803,648325.0,307.846628679962,130759,2106,0,0,0
39,-278819.46664979303,18307.075555826825,655450.0,309.02876001885903,131887,2121,0,0,0
40,-297085.9307199697,17345.131342936198,699036.0,336.2366522366522,130562,2079,0,0,0
41,-266836.7842399224,17411.059791341148,599782.0,283.0495516753185,134031,2119,0,0,0
42,-291680.76784629794,16725.390207845052,694545.0,330.73571428571427,129635,2100,0,0,0
43,-289626.15169045643,16526.267124348957,700463.0,330.40707547169814,130771,2120,0,0,0
44,-261081.4549446967,16785.252884765625,591765.0,274.2191844300278,137978,2158,0,0,0
45,-283856.85770907253,16426.938900878908,676355.0,320.8515180265655,132251,2108,0,0,0
46,-281189.66286031436,16898.92507356771,678937.0,321.01040189125297,131836,2115,0,0,0
47,-278181.26549891185,17960.92887613932,650528.0,313.35645472061657,132120,2076,0,0,0
48,-272952.2068792692,20462.332866373697,633248.0,297.0206378986867,131796,2132,0,0,0
49,-277102.8782837836,19679.75832747396,652314.0,308.27693761814743,132527,2116,0,0,0
50,-271774.65005085315,18449.228380208333,638275.0,298.12003736571694,132562,2141,0,0,0
51,-265022.18759007746,15265.234047200522,616109.0,288.7108716026242,134534,2134,0,0,0
52,-260214.73015501205,15176.24625813802,606387.0,275.38010899182564,135629,2202,0,0,0
53,-279642.38104776,15288.25097623698,647195.0,306.0023640661939,132111,2115,0,0,0
54,-271371.78245001973,15376.94880875651,634633.0,299.63786591123704,132667,2118,0,0,0
55,-276169.0314643917,15540.756442708333,659030.0,309.4037558685446,132543,2130,0,0,0
56,-269104.53570234653,15518.264126953125,615768.0,292.80456490727533,132187,2103,0,0,0
57,-251743.43680082692,15523.96815608724,582432.0,272.9297094657919,133952,2134,0,0,0
58,-258747.13062610448,14857.790487141927,596668.0,276.87610208816704,134432,2155,0,0,0
59,-286925.5378162382,15569.701069498698,676819.0,315.2394038192827,132101,2147,0,0,0
60,-262419.1092611409,15084.774381347655,615291.0,285.78309335810496,134423,2153,0,0,0
61,-262311.73335703654,15015.81302734375,605473.0,281.87756052141526,134421,2148,0,0,0
62,-253382.0268776371,14761.88298453776,580150.0,268.4636742248959,135751,2161,0,0,0
63,-260133.0532557997,14789.397585286459,606293.0,284.1110590440487,135532,2134,0,0,0
64,-274728.53461689374,14474.642842285157,644885.0,300.78591417910445,132140,2144,0,0,0
65,-262394.3471773275,15089.995361002604,602345.0,281.7329279700655,134967,2138,0,0,0
66,-272263.130822114,14940.076957845053,640609.0,295.4838560885609,133372,2168,0,0,0
67,-273527.4739810403,15485.73412841797,636433.0,297.81609733270943,134178,2137,0,0,0
68,-262294.8831695777,15948.635091471355,605499.0,278.64657156005524,136820,2173,0,0,0
69,-288308.2353709315,16347.589933919271,695457.0,328.51062824752006,131436,2117,0,0,0
70,-265292.91761878296,16750.36255517578,622438.0,294.99431279620853,133824,2110,0,0,0
71,-264406.0740506558,16965.838271158853,619825.0,285.7653296449977,133139,2169,0,0,0
72,-246442.09060681015,16679.16099267578,567847.0,257.6438294010889,137944,2204,0,0,0
73,-254492.40128026338,15663.756798502603,612114.0,278.61356395084204,137300,2197,0,0,0
74,-264032.94118902896,15581.332157389323,628797.0,288.30674002751033,134893,2181,0,0,0
75,-259217.97229424425,15318.395517740886,602948.0,281.48832866479927,133613,2142,0,0,0
76,-253528.93175834313,14343.316758463541,597609.0,270.0447356529598,137835,2213,0,0,0
77,-270645.3452672948,14538.629553222656,644702.0,300.1405959031657,134449,2148,0,0,0
78,-244836.3574146363,15457.327195963542,563461.0,253.46873594242015,140444,2223,0,0,0
79,-252096.55727166528,14937.092481933594,605485.0,271.88370004490343,137614,2227,0,0,0
80,-261263.10014341483,14804.700670735678,624761.0,281.29716343989196,136399,2221,0,0,0
81,-248709.42194354307,14776.488142252605,579054.0,257.47176522899065,138080,2249,0,0,0
82,-250910.04939441278,15524.650121744791,594893.0,267.9698198198198,136684,2220,0,0,0
83,-246300.05197753402,14655.243498860676,576991.0,259.55510571300044,137647,2223,0,0,0
84,-251263.17813445794,14653.238526529947,583246.0,263.6735985533454,138228,2212,0,0,0
85,-254939.77646660473,14611.706801757813,591118.0,269.1794171220401,136537,2196,0,0,0
86,-238577.52598730725,13576.389233398437,551638.0,248.82183130356339,141567,2217,0,0,0
87,-264020.4906140922,14213.769760091145,636222.0,287.4929959331225,135865,2213,0,0,0
88,-242457.91950375505,14868.152558919272,561804.0,250.58162355040142,136874,2242,0,0,0
89,-257797.3775029088,15061.094245768229,613589.0,275.8943345323741,137351,2224,0,0,0
90,-254599.0459295148,15474.610368001302,609954.0,272.4225100491291,135242,2239,0,0,0
91,-251350.79210755555,16145.71879248047,592431.0,264.8328118015199,134920,2237,0,0,0
92,-259075.30125676238,17341.90287190755,608058.0,276.5156889495225,136286,2199,0,0,0
93,-260944.6420023606,17419.444348632813,618349.0,284.56005522319373,133889,2173,0,0,0
94,-238205.54981741292,15855.76189078776,558992.0,248.8833481745325,140576,2246,0,0,0
95,-250896.5395668669,15107.5221171875,599612.0,272.5509090909091,137171,2200,0,0,0
96,-255678.24248179595,15576.277766601563,603653.0,273.1461538461538,136864,2210,0,0,0
97,-257245.34532465364,14517.760113606771,610263.0,271.83207126948776,135972,2245,0,0,0
98,-242798.1743251895,14864.13473763021,560983.0,253.15117328519855,139175,2216,0,0,0
99,-255612.5832466625,14657.322950195312,613271.0,279.77691605839414,137438,2192,0,0,0
100,-254146.74839503638,15053.645000813802,598628.0,269.04629213483145,137221,2225,0,0,0
101,-251592.4768403149,15138.089402180989,587594.0,266.0,137439,2209,0,0,0
102,-246725.5443716574,15508.90510221354,574340.0,256.5163019205002,137789,2239,0,0,0
103,-242199.95938815063,15335.573509602864,566694.0,255.15263394867176,140440,2221,0,0,0
104,-221974.16043542564,15580.623169759114,519962.0,226.85951134380454,144265,2292,0,0,0
105,-231338.52047185018,16196.056364746093,545706.0,241.3560371517028,142253,2261,0,0,0
106,-239650.15380435463,14958.646828938801,559312.0,250.58781362007167,138703,2232,0,0,0
107,-250453.9669374282,14297.681737630208,583151.0,262.6806306306306,137147,2220,0,0,0
108,-239592.22441258383,13105.918857096354,560698.0,249.5318202047174,138455,2247,0,0,0
109,-233008.3324727331,13843.220563964844,532089.0,237.3278322925959,140204,2242,0,0,0
110,-241488.88618620267,13206.6233671875,579433.0,258.0993318485523,140234,2245,0,0,0
111,-244371.14798126227,13010.652039713541,565187.0,257.84078467153284,137224,2192,0,0,0
112,-254495.33482287228,12756.878622233073,603887.0,275.3702690378477,136275,2193,0,0,0
113,-250341.40484431677,12520.63360205078,599490.0,267.74899508709245,138516,2239,0,0,0
114,-243119.12138672447,13598.192493977864,579105.0,255.67549668874173,138496,2265,0,0,0
115,-233141.6004794336,13388.308069335937,554426.0,243.38279192273924,141122,2278,0,0,0
116,-254529.11714991924,13281.64914860026,612493.0,271.8566355969818,138596,2253,0,0,0
