Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-255182.91170524652,445.9608829343729,468991.0,562.3393285371702,28792,834,0,0,0
2,-245070.52804341205,2371.5215388387046,452627.0,542.7182254196642,29217,834,0,0,0
3,-174802.24607716355,2864.131531575521,288855.0,346.34892086330933,28338,834,0,0,0
4,-170489.38491679594,2720.065249511719,281093.0,337.0419664268585,27560,834,0,0,0
5,-298987.5716494777,3132.5142276000975,548318.0,657.4556354916067,30332,834,0,0,0
6,-155866.5093511282,4843.521001342773,248467.0,297.9220623501199,28042,834,0,0,0
7,-179370.46583908406,4991.119899658203,302114.0,362.2470023980815,28203,834,0,0,0
8,-328850.31411517534,5522.056435099284,619856.0,743.2326139088728,31672,834,0,0,0
9,-266142.80784011324,8015.934962239583,490358.0,587.9592326139089,28934,834,0,0,0
10,-261679.2202764117,9846.540302246094,478536.0,573.7841726618705,29103,834,0,0,0
11,-215554.9039906334,12446.612255126953,373013.0,447.25779376498804,29186,834,0,0,0
12,-187111.13265824155,12739.00296476237,315292.0,378.04796163069545,29475,834,0,0,0
13,-298059.70295124303,12786.241266845704,564347.0,676.6750599520384,29614,834,0,0,0
14,-172580.25605023172,15273.319021077474,296071.0,355.0011990407674,28335,834,0,0,0
15,-225370.7511625444,20327.93778889974,409257.0,490.7158273381295,30060,834,0,0,0
16,-241861.83416801214,22154.840727539064,431961.0,517.9388489208633,28951,834,0,0,0
17,-163902.72878816622,22305.664498046874,277433.0,332.6534772182254,28330,834,0,0,0
18,-221942.26089591725,19187.076341796874,393906.0,472.3093525179856,29260,834,0,0,0
19,-203148.6489894693,17066.51228483073,352192.0,422.2925659472422,29008,834,0,0,0
20,-156616.10953658444,17106.769610839845,254473.0,305.1235011990408,28314,834,0,0,0
21,-189625.91326676687,18230.5799292806,331572.0,397.568345323741,28672,834,0,0,0
22,-160930.13960198473,19119.440424479166,263959.0,316.49760191846525,28959,834,0,0,0
23,-183910.73733751662,18392.62623714193,314348.0,376.91606714628296,28242,834,0,0,0
24,-155481.70095085073,20278.992729003905,257078.0,308.2470023980815,27824,834,0,0,0
