Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-2225732.948620868,25031.981725779122,3907060.0,1872.0939147101103,148150,2087,0,0,0
2,-2183121.1125058187,17272.297843912762,3804876.0,1759.8871415356152,150604,2162,0,0,0
3,-2282656.547585629,23149.92915641276,4044186.0,1876.6524361948957,150543,2155,0,0,0
4,-2230219.1808960377,30536.440057617187,3956657.0,1848.9051401869158,149382,2140,0,0,0
5,-2256403.812668725,37874.00976790365,4003036.0,1853.2574074074073,150491,2160,0,0,0
6,-2226076.293448432,48853.56798111979,3920112.0,1847.3666352497644,151627,2122,0,0,0
7,-2185494.6538439514,59051.357608723956,3831571.0,1755.9903758020164,151120,2182,0,0,0
8,-2184793.4350844026,70592.13080338541,3872411.0,1778.78318787322,150027,2177,0,0,0
9,-2172879.5521075083,86452.93651822917,3848880.0,1759.8902606310014,151794,2187,0,0,0
10,-2079242.6849822176,104663.28566015625,3645143.0,1650.1326392032595,155390,2209,0,0,0
11,-2086923.48134442,125314.10126041666,3694850.0,1680.2410186448385,152464,2199,0,0,0
12,-2099584.2826085505,137541.7449674479,3661845.0,1660.700680272109,155393,2205,0,0,0
13,-2110217.501419486,156070.05489322916,3715447.0,1708.2514942528735,154061,2175,0,0,0
14,-2252095.6196669415,165591.4671640625,3995543.0,1828.6237986270023,154753,2185,0,0,0
15,-2088467.006916888,177917.9016484375,3695896.0,1683.0127504553734,154733,2196,0,0,0
16,-2037814.8175474193,198250.84534375,3566527.0,1580.2069118298627,157675,2257,0,0,0
17,-2178920.75704813,228462.01147395832,3869769.0,1747.8631436314363,162624,2214,0,0,0
18,-2066379.5226220468,253199.6408515625,3664640.0,1657.4581637268204,154043,2211,0,0,0
19,-2100970.5765465405,256119.96261979168,3702518.0,1681.4341507720255,159493,2202,0,0,0
20,-2086397.8677061729,270849.905515625,3662397.0,1670.8015510948906,154553,2192,0,0,0
21,-2283354.840325736,289309.83400520834,4029997.0,1875.2894369474175,154117,2149,0,0,0
