Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
1,-205375.5,23123185.0,13296.828637147786,38743,1739
2,-216920.9375,24560754.0,14680.665869695158,37889,1673
3,-198686.375,22398249.0,11210.334834834835,43354,1998
4,-216727.4375,24568005.0,13786.75925925926,39977,1782
5,-215949.6875,24489996.0,13673.922948073701,40256,1791
6,-215414.9375,24363990.0,13588.393753485778,39430,1793
7,-199941.5,22555165.0,12087.441050375133,41810,1866
8,-217697.4375,24740855.0,13468.075666848123,40990,1837
9,-213838.0625,24299769.0,12397.841326530612,43337,1960
10,-197544.5625,22289531.0,11050.833415964304,43917,2017
11,-201650.9375,22682333.0,11875.567015706807,42058,1910
12,-198130.125,22341406.0,11709.332285115304,41906,1908
13,-217429.5,24628869.0,13392.533442088092,40875,1839
14,-211681.5625,24021569.0,12016.792896448223,43224,1999
15,-215751.875,24481324.0,12691.199585277345,42151,1929
16,-214069.75,24288739.0,12683.414621409922,41502,1915
17,-197145.5625,22288780.0,10985.105963528831,43547,2029
18,-217710.125,24670626.0,13192.848128342246,41040,1870
19,-215132.4375,24472760.0,12267.047619047618,42987,1995
20,-200111.875,22572915.0,11092.341523341523,43291,2035
21,-202287.4375,22835867.0,11943.445083682009,41974,1912
22,-211709.25,24070963.0,11764.889051808406,43099,2046
23,-200979.8125,22621153.0,11361.704168759417,42733,1991
24,-213561.0,24232237.0,12828.076760190577,41344,1889
25,-211849.8125,24081655.0,12516.452702702703,42583,1924
26,-202713.5,22772863.0,11998.347207586934,41735,1898
27,-215612.25,24436398.0,13180.36569579288,41178,1854
28,-215765.5,24514680.0,12022.893575282002,44035,2039
29,-213777.5,24316102.0,12043.636453689945,44084,2019
30,-200450.0,22645393.0,11334.03053053053,43346,1998
31,-195442.5625,22065782.0,10907.455264458724,43311,2023
32,-196946.375,22174302.0,11377.271421241663,42347,1949
33,-213933.3125,24267612.0,11700.873674059789,44480,2074
34,-217170.1875,24661315.0,12877.971279373369,41508,1915
35,-195550.4375,22069370.0,10671.842359767892,44437,2068
36,-210522.5,23919639.0,12253.913422131147,43134,1952
37,-200679.3125,22626221.0,12003.30026525199,42162,1885
38,-214071.4375,24300722.0,12474.703285420945,42771,1948
39,-217085.0,24636414.0,13048.948093220339,40748,1888
40,-214478.0,24333527.0,12915.884819532908,41576,1884
41,-198038.875,22358368.0,10541.427628477133,44295,2121
42,-196609.0625,22174218.0,11176.521169354839,42973,1984
43,-195683.6875,22113655.0,10729.575448811256,43469,2061
44,-196820.25,22260095.0,10816.372691933917,43602,2058
45,-213460.25,24247034.0,11856.740342298288,43961,2045
46,-202859.25,22862441.0,11340.496527777777,42970,2016
47,-217125.9375,24653390.0,12501.71906693712,42666,1972
48,-196526.375,22191101.0,10746.29588377724,43467,2065
49,-202265.5,22778660.0,11820.788790866633,41923,1927
50,-198108.625,22349308.0,11408.528841245534,42311,1959
51,-217263.4375,24593421.0,12315.183274912368,43115,1997
52,-213730.125,24301502.0,12066.286991062561,43724,2014
53,-211828.1875,24050935.0,11882.873023715416,43175,2024
54,-213254.0,24248007.0,11805.261441090555,43401,2054
55,-214227.5625,24318668.0,12639.640332640332,41605,1924
56,-197754.0625,22329339.0,10638.084325869462,43262,2099
57,-211428.75,24053484.0,12026.742,43024,2000
