Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
1,-306332.26666666666,48927692.0,109457.92393736017,12597,447
2,-303296.1666666668,48441387.0,108128.09598214286,12553,448
3,-307512.33333333355,49088797.0,109818.33780760627,12761,447
4,-307141.03333333344,49032171.0,109691.65771812081,12746,447
5,-306160.73333333357,48909284.0,109416.74272930648,12648,447
6,-305503.86666666676,48745666.0,108807.29017857143,12796,448
7,-304619.36666666676,48637467.0,108808.65100671141,12556,447
8,-306586.5666666668,48967166.0,109546.2326621924,12803,447
9,-302731.3666666669,48475442.0,108689.33183856502,12671,446
10,-304465.83333333355,48640681.0,108815.84116331096,12568,447
11,-307028.76666666666,49103398.0,109851.00223713646,12840,447
12,-302800.00000000023,48311100.0,108320.85201793721,12813,446
13,-306901.5333333333,49050472.0,109732.5995525727,12566,447
14,-301096.7666666669,48133578.0,107681.38255033558,12533,447
15,-303404.7000000002,48482012.0,108460.8769574944,12484,447
16,-307365.40000000014,49121088.0,109890.57718120805,12928,447
17,-304936.9333333337,48665300.0,108627.90178571429,12655,448
18,-301442.4666666667,48243989.0,107928.3870246085,12648,447
19,-304513.0666666666,48599034.0,108966.44394618834,12804,446
20,-304136.86666666676,48582248.0,108928.80717488789,12646,446
21,-303213.13333333324,48430249.0,108345.07606263983,12546,447
22,-302447.7333333332,48282071.0,108013.58165548099,12547,447
23,-308614.09999999986,49343270.0,110387.62863534676,12442,447
24,-307269.2666666667,49080760.0,110046.54708520179,12550,446
25,-299683.766666667,47898228.0,106915.6875,12457,448
26,-308646.76666666666,49242432.0,110409.0403587444,12593,446
27,-309976.70000000024,49478316.0,110689.74496644296,12603,447
28,-306721.13333333336,49032195.0,109937.65695067265,12674,446
29,-303024.3000000004,48437133.0,108118.60044642857,12744,448
30,-306719.79999999993,48954313.0,109763.033632287,12701,446
31,-308810.8666666665,49300830.0,110292.68456375839,12861,447
32,-304361.23333333334,48633445.0,108799.65324384788,12556,447
33,-298982.4666666666,47779985.0,107130.01121076233,12416,446
34,-307435.16666666674,49223523.0,110366.64349775785,12854,446
