Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
1,-309577.1666666669,47100251.0,16491.684523809523,82570,2856
2,-316702.36666666676,48604552.0,17764.8216374269,80620,2736
3,-312052.93333333335,47885827.0,16790.261921458627,80388,2852
4,-331373.09999999974,50616543.0,17810.18402533427,81966,2842
5,-338235.19999999995,51533010.0,18261.165839829908,82316,2822
6,-310130.0999999998,46871711.0,16469.32923401265,79395,2846
7,-310303.49999999994,47657876.0,16840.23886925795,81078,2830
8,-311638.7999999999,47838727.0,16564.656163434902,81988,2888
9,-321228.80000000016,48972902.0,17428.07900355872,83689,2810
10,-311900.26666666695,47794831.0,16906.555005305978,81876,2827
11,-315718.5000000001,48393364.0,17027.925404644615,81036,2842
12,-333454.3666666668,50373813.0,18152.725405405406,79356,2775
13,-312216.4666666668,47801150.0,17151.471115895227,79089,2787
14,-318510.2333333332,48713236.0,17688.175744371823,80757,2754
15,-310573.9999999999,47568299.0,17110.89892086331,83039,2780
16,-333817.8333333333,50520087.0,18251.47651734104,80281,2768
17,-311002.8,47456381.0,16674.764933239636,82112,2846
18,-309641.2666666668,47537491.0,17026.321991404013,80181,2792
19,-313249.73333333334,48030157.0,16665.564538514922,82500,2882
20,-309180.1,47339854.0,16985.95407247937,80782,2787
21,-340394.96666666656,51976828.0,17836.93479752917,82207,2914
22,-313765.7333333331,48201697.0,16960.484517945108,83696,2842
23,-309561.2,47026419.0,17144.155668975574,80985,2743
24,-299602.76666666684,45368909.0,15802.47614071752,80729,2871
25,-315927.8666666669,48435558.0,16994.932631578948,82958,2850
26,-311396.36666666664,47809883.0,17026.31160968661,82333,2808
27,-317444.16666666674,48616713.0,17142.70557122708,81124,2836
28,-316392.1666666665,48409854.0,17687.195469492144,80945,2737
29,-311537.0666666666,47445552.0,16635.887798036467,81148,2852
30,-310239.7666666666,47685142.0,16826.091037402963,80742,2834
31,-313405.89999999997,47782370.0,17059.039628704035,82699,2801
32,-313229.5666666666,47940380.0,17024.282670454544,81290,2816
33,-325628.76666666655,48982863.0,17413.03341628155,78581,2813
34,-308951.8666666669,47419909.0,16522.61637630662,81747,2870
35,-330079.56666666677,50160317.0,17818.94031971581,81143,2815
36,-307726.60000000003,47014083.0,16194.999311057527,83216,2903
37,-308642.2999999998,47140505.0,16908.359038737446,82074,2788
38,-328531.43333333335,50109508.0,17681.54834156669,82161,2834
39,-309418.2333333334,47321176.0,16656.520943329815,82766,2841
40,-313463.29999999993,48170357.0,16907.812214812217,81899,2849
41,-309071.33333333366,47425067.0,16740.22837980939,80325,2833
42,-311046.0666666665,47489211.0,16686.300421644413,79922,2846
43,-313510.8333333334,48099422.0,16724.416550764952,83690,2876
44,-314718.89999999997,48261378.0,17236.20642857143,82624,2800
45,-310808.4333333335,47424818.0,17151.832911392405,81087,2765
46,-313764.3999999999,48196442.0,16958.635467980297,81628,2842
47,-311196.26666666666,47792694.0,16635.117995127046,80007,2873
48,-307608.40000000014,47135996.0,16281.863903281519,79484,2895
49,-334189.83333333343,51014967.0,18007.400988351572,80800,2833
50,-347478.10000000027,52483998.0,18383.186690017512,80057,2855
51,-311273.9000000001,47679202.0,16806.204441311245,81142,2837
52,-311599.6333333331,47414564.0,17049.465659834594,80905,2781
53,-325248.8999999999,49323636.0,17435.00742311771,77617,2829
54,-314561.1666666666,48142997.0,17725.69845360825,78531,2716
55,-318129.2,48871354.0,17354.884232954544,83136,2816
56,-338304.93333333347,51639067.0,17955.16933240612,83648,2876
57,-309797.96666666656,47536093.0,17001.463876967096,80299,2796
58,-315607.76666666666,48513312.0,17407.001076426266,79742,2787
59,-318865.7999999998,48717227.0,17492.72064631957,82198,2785
60,-311823.9666666667,47777596.0,17069.52340121472,81409,2799
61,-316479.1333333334,48484213.0,17334.36288880944,78942,2797
62,-312809.7000000001,48016281.0,17191.650912996778,80231,2793
63,-309282.8333333336,47434077.0,16447.322122052705,82964,2884
64,-307931.39999999985,47096379.0,16589.073265234238,81127,2839
65,-312681.6666666665,48059317.0,17109.048415806337,79717,2809
66,-310823.1,47626003.0,17058.02399713467,79484,2792
67,-313574.16666666657,48056949.0,16856.172921781832,82953,2851
68,-310293.96666666656,47511937.0,16866.147319843807,80516,2817
69,-314094.3000000001,48184202.0,16883.042046250877,82008,2854
70,-318488.66666666686,48837886.0,17694.88623188406,80260,2760
71,-309783.36666666646,46858510.0,16499.475352112677,82802,2840
72,-312302.7333333333,47896977.0,16700.480125523012,81088,2868
73,-300893.6000000001,45790390.0,15871.8856152513,79698,2885
74,-312764.8666666667,47819019.0,17496.896816684963,81482,2733
75,-310310.49999999994,47557793.0,16942.569647310294,83415,2807
76,-325222.9333333336,49794593.0,18239.777655677655,80026,2730
77,-307458.6999999999,47146731.0,17339.73188672306,81544,2719
