Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-389363.5,1643.8173661285573,838795.0,1229.9046920821115,30034,682,1462,0,1538
2,-486374.0,2086.1505823262532,1030704.0,1524.7100591715975,28978,676,1477,0,1523
3,-436585.5,3328.343368469238,930571.0,1380.6691394658753,28700,674,1547,0,1453
4,-417085.0,4601.157186197916,892682.0,1301.2857142857142,29256,686,1500,0,1500
5,-460464.5,6358.238974527995,979369.0,1431.826023391813,29220,684,1518,0,1482
6,-405719.0,8129.043061523437,868810.0,1287.125925925926,28686,675,1465,0,1535
7,-377114.0,10203.581631917317,813012.0,1174.8728323699422,29392,692,1490,0,1510
8,-348174.0,12179.177347167968,755388.0,1088.4553314121038,29520,694,1481,0,1519
9,-500146.5,14822.938383626302,1055025.0,1603.3814589665653,27366,658,1457,0,1543
10,-442588.5,18112.189538411458,941981.0,1403.8464977645306,28402,671,1444,0,1556
11,-391685.5,21326.15568310547,840917.0,1218.7202898550725,28773,690,1487,0,1513
12,-397442.5,24672.278227539064,854643.0,1245.83527696793,29879,686,1484,0,1516
13,-395399.5,26873.259888346354,850223.0,1248.4919236417034,29712,681,1473,0,1527
14,-529201.5,29325.849309570312,1117175.0,1609.7622478386168,29386,694,1549,0,1451
15,-424049.5,33987.18003157552,908095.0,1304.7341954022988,29998,696,1544,0,1456
16,-393995.0,38861.57886100261,847248.0,1242.299120234604,29629,682,1505,0,1495
17,-461106.0,44268.17354654948,977200.0,1480.6060606060605,27494,660,1523,0,1477
18,-414691.0,48256.66363216146,884774.0,1328.4894894894894,27696,666,1465,0,1535
19,-514765.0,52240.75466634115,1085146.0,1619.620895522388,27808,670,1481,0,1519
20,-509167.0,57524.838228515626,1072538.0,1617.7043740573151,27102,663,1478,0,1522
21,-511873.5,63439.13409114583,1079315.0,1642.79299847793,27784,657,1463,0,1537
22,-470365.5,70750.96952083333,997669.0,1484.626488095238,28469,672,1504,0,1496
23,-387770.0,74835.4940657552,833440.0,1236.5578635014838,28950,674,1548,0,1452
24,-354481.5,77222.8293704427,768759.0,1117.3822674418604,29898,688,1614,0,1386
25,-494073.5,77693.11253776042,1044305.0,1551.7161961367012,28079,673,1509,0,1491
26,-530051.0,80701.81581054688,1113586.0,1679.6168929110106,26742,663,1435,0,1565
27,-473959.5,86439.9028717448,1002043.0,1522.8617021276596,27062,658,1456,0,1544
28,-515520.0,96775.01595963542,1086134.0,1625.9491017964071,27547,668,1345,0,1655
29,-413507.0,102980.88769921874,885690.0,1319.9552906110282,29338,671,1445,0,1555
30,-438735.5,107454.95970377604,934665.0,1399.1991017964071,28597,668,1411,0,1589
31,-367615.0,110096.02996875,793700.0,1156.997084548105,29235,686,1472,0,1528
32,-515841.5,118260.195,1083951.0,1665.0552995391706,26134,651,1525,0,1475
33,-413659.5,121138.40520572917,885087.0,1297.7815249266862,28884,682,1511,0,1489
34,-405657.5,121728.01480078125,869739.0,1267.8411078717202,29212,686,1570,0,1430
35,-458046.0,127960.11858984375,973712.0,1464.2285714285715,28810,665,1478,0,1522
36,-476321.5,125623.77798177084,1006331.0,1517.844645550528,26844,663,1436,0,1564
37,-485313.0,130044.8274921875,1025224.0,1527.9046199701938,27299,671,1573,0,1427
38,-448435.5,141928.8411328125,951937.0,1444.5174506828528,27533,659,1610,0,1390
39,-490355.5,150279.94678776042,1037231.0,1559.7458646616542,28260,665,1504,0,1496
40,-339728.0,153407.56047135417,739822.0,1040.537271448664,30183,711,1633,0,1367
41,-399418.0,149057.26076822917,858112.0,1208.6084507042253,29638,710,1543,0,1457
42,-502006.5,147640.91910416668,1055799.0,1647.1123244929797,25893,641,1546,0,1454
43,-458675.5,151150.74914322916,972535.0,1440.7925925925927,27592,675,1376,0,1624
44,-435800.5,161167.27596614583,925531.0,1387.6026986506747,26965,667,1407,0,1593
45,-432213.5,164034.08005859374,921267.0,1387.4503012048192,28420,664,1501,0,1499
46,-416333.5,162589.97919010418,888801.0,1324.591654247392,28067,671,1581,0,1419
47,-442065.5,160238.987140625,938257.0,1415.1689291101056,27063,663,1526,0,1474
48,-435932.5,156937.62026041668,926569.0,1346.7572674418604,27352,688,1400,0,1600
49,-438286.5,157038.77661197918,930339.0,1418.1996951219512,26883,656,1267,0,1733
50,-536343.0,159694.55755078126,1125592.0,1715.841463414634,26453,656,1199,0,1801
51,-492616.0,157478.16023958335,1037412.0,1600.9444444444443,26090,648,1371,0,1629
52,-416490.5,161169.6935950521,886841.0,1329.5967016491754,26930,667,1535,0,1465
53,-521614.5,165723.8991809896,1097001.0,1669.7123287671234,26886,657,1403,0,1597
54,-496988.5,172153.71326692708,1049723.0,1585.6842900302115,27873,662,1452,0,1548
55,-510757.0,174808.6654778646,1075050.0,1664.1640866873065,26768,646,1382,0,1618
56,-535042.0,179470.19304296875,1121840.0,1766.6771653543308,25878,635,1547,0,1453
57,-532069.0,185102.97549869792,1116080.0,1701.341463414634,25971,656,1526,0,1474
58,-548397.5,179427.37098177083,1148667.0,1778.1222910216718,25936,646,1466,0,1534
59,-505484.5,175880.88811328125,1064431.0,1612.7742424242424,26731,660,1479,0,1521
60,-439296.5,171900.05597526042,930801.0,1401.808734939759,26104,664,1464,0,1536
61,-408592.0,173065.5354388021,871200.0,1304.1916167664672,27008,668,1436,0,1564
62,-476085.0,178522.76640625,1004578.0,1533.7068702290076,26204,655,1506,0,1494
63,-430152.0,183503.94450520835,913314.0,1407.2634822804314,26505,649,1225,0,1775
64,-470612.5,182351.07095963543,994171.0,1531.8505392912173,26473,649,1285,0,1715
65,-511526.5,184609.3825703125,1076351.0,1653.3809523809523,26649,651,1253,0,1747
66,-465501.5,185619.49884895832,984441.0,1521.54714064915,26719,647,1292,0,1708
67,-525076.0,185850.3690390625,1103712.0,1711.1813953488372,26780,645,1277,0,1723
