Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-541586.0,1136688.0,1770.5420560747664,26758,642,1417,0,1583
2,-482596.0,1022668.0,1530.940119760479,28738,668,1434,0,1566
3,-351980.0,765440.0,1095.0500715307583,30740,699,1517,0,1483
4,-377554.0,814106.0,1176.4537572254335,29499,692,1555,0,1445
5,-411664.5,885177.0,1273.6359712230217,30924,695,1573,0,1427
6,-404619.5,868573.0,1218.194950911641,29667,713,1562,0,1438
7,-283579.5,631221.0,863.5034199726402,32031,731,1644,0,1356
8,-310081.0,685302.0,946.5497237569061,32570,724,1615,0,1385
9,-340808.0,747882.0,1014.7652645861601,33133,737,1663,0,1337
10,-236928.0,540804.0,712.5217391304348,33474,759,1651,0,1349
11,-292847.0,652994.0,862.6076618229855,33650,757,1635,0,1365
12,-201528.0,473048.0,611.173126614987,34996,774,1674,0,1326
13,-261384.5,591503.0,754.468112244898,34367,784,1713,0,1287
14,-211980.0,496282.0,621.1289111389236,36161,799,1714,0,1286
15,-189120.5,451319.0,554.4459459459459,36539,814,1738,0,1262
16,-123441.5,315721.0,388.34071340713405,34419,813,1737,0,1263
17,-55961.5,181393.0,219.07367149758454,34735,828,1689,0,1311
18,-49106.0,166808.0,202.4368932038835,34298,824,1755,0,1245
19,-14385.0,93438.0,112.57590361445783,32334,830,1759,0,1241
20,-9712.5,78541.0,94.62771084337349,29558,830,1745,0,1255
21,1025.5,55137.0,66.43012048192772,28594,830,1748,0,1252
22,15153.0,28248.0,34.033734939759036,29277,830,1819,0,1181
23,17029.5,23415.0,28.210843373493976,28737,830,1802,0,1198
24,17911.0,15956.0,19.22409638554217,25889,830,1781,0,1219
25,16479.5,22131.0,26.663855421686748,27545,830,1820,0,1180
26,21116.5,6245.0,7.524096385542169,24239,830,1789,0,1211
27,22175.0,3964.0,4.775903614457832,24157,830,1828,0,1172
28,21134.5,3151.0,3.7963855421686747,22710,830,1868,0,1132
29,21534.5,3293.0,3.9674698795180725,23181,830,1837,0,1163
30,20417.0,3352.0,4.03855421686747,22093,830,1883,0,1117
31,20047.5,2325.0,2.8012048192771086,21210,830,1842,0,1158
32,21808.5,1815.0,2.1867469879518073,22716,830,1875,0,1125
33,21324.5,2113.0,2.5457831325301203,22381,830,1882,0,1118
34,21490.0,2836.0,3.4168674698795183,22908,830,1918,0,1082
35,20348.0,1252.0,1.508433734939759,20974,830,1875,0,1125
36,20615.5,1777.0,2.1409638554216865,21504,830,1855,0,1145
37,21783.0,2184.0,2.6313253012048192,22875,830,1931,0,1069
38,20941.0,2340.0,2.819277108433735,22111,830,1853,0,1147
39,20525.5,2049.0,2.468674698795181,21550,830,1837,0,1163
40,21680.0,1628.0,1.96144578313253,22494,830,1813,0,1187
