Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-290335.0,1530.390288631243,789032.0,270.40164496230295,104181,2918,1478,0,1522
2,-282522.5,1988.5939033813477,776289.0,274.50106082036774,105622,2828,1487,0,1513
3,-383696.5,2825.2050138142904,969449.0,337.55188022284125,101028,2872,1542,0,1458
4,-313678.5,4566.673685709636,812903.0,285.42942415730334,92773,2848,1519,0,1481
5,-304051.0,6016.990558390299,817914.0,281.45698554714386,104906,2906,1547,0,1453
6,-267830.5,7968.29423421224,724139.0,253.63887915936954,94239,2855,1575,0,1425
7,-318140.5,9372.259848958332,835263.0,289.1183800623053,99491,2889,1504,0,1496
8,-266084.5,12034.238489095053,733587.0,253.31042817679557,100709,2896,1565,0,1435
9,-288152.0,14146.61440999349,787040.0,267.88291354663033,105368,2938,1629,0,1371
10,-238205.0,16640.24864941406,687422.0,235.57984921178888,105506,2918,1568,0,1432
11,-305201.0,19230.942434244793,796370.0,282.2005669737775,92984,2822,1531,0,1469
12,-302397.0,22147.107092447917,787316.0,277.5170955234403,91261,2837,1512,0,1488
13,-285986.5,24857.03600325521,758283.0,267.66078362160255,93155,2833,1502,0,1498
14,-310602.5,27587.110780273437,817359.0,286.0899544977249,98077,2857,1549,0,1451
15,-344238.5,30867.822353841148,867935.0,309.5345934379458,89729,2804,1563,0,1437
16,-311298.5,34182.605858398434,820955.0,281.82457947133537,99179,2913,1508,0,1492
17,-285171.5,39186.53828190104,776851.0,265.3179644808743,103254,2928,1504,0,1496
18,-327462.0,43006.39251953125,841002.0,296.7544107268878,93039,2834,1513,0,1487
19,-252961.0,46177.82195963542,713126.0,244.38862234407128,103602,2918,1513,0,1487
20,-317242.5,49553.44875130209,851453.0,294.9265673709733,108484,2887,1487,0,1513
21,-267452.5,53298.635065104165,737699.0,254.81830742659758,101397,2895,1519,0,1481
22,-311710.0,56019.652300130205,825270.0,284.37973811164716,100925,2902,1481,0,1519
23,-265516.0,60160.98483007812,725266.0,250.00551533953808,97117,2901,1518,0,1482
24,-280765.5,65043.30893489583,754079.0,263.663986013986,96274,2860,1490,0,1510
25,-310894.0,67843.24500846353,822410.0,283.4918993450534,100311,2901,1475,0,1525
26,-335984.0,73684.24354166667,868176.0,306.4511118955171,98104,2833,1469,0,1531
27,-363737.5,78477.74234830729,946811.0,329.32556521739133,109668,2875,1503,0,1497
28,-291212.0,81877.43856380209,775416.0,271.69446391030135,96496,2854,1491,0,1509
29,-292603.5,87263.517921875,784251.0,271.64911673016974,99522,2887,1552,0,1448
30,-268232.0,89711.29526822917,729236.0,251.63423050379572,96386,2898,1528,0,1472
31,-334313.5,93774.55114127604,876529.0,306.26450034940603,103951,2862,1456,0,1544
32,-293931.5,101007.98316276041,789091.0,271.0721401580213,100614,2911,1519,0,1481
33,-239530.0,99789.89966536459,687634.0,231.2929700639085,104287,2973,1608,0,1392
34,-242463.0,99555.9337109375,671234.0,232.42174515235456,93154,2888,1615,0,1385
35,-313837.5,101430.06096484375,842389.0,293.82246250436,107357,2867,1425,0,1575
36,-318347.5,106548.40035807292,843107.0,294.0728985001744,103206,2867,1420,0,1580
37,-383184.5,115501.90114713542,970689.0,340.83181179775283,102160,2848,1495,0,1505
38,-308106.5,122426.72216796875,827477.0,283.96602608098834,105632,2914,1497,0,1503
39,-272923.0,128492.59403255208,747186.0,257.82815734989646,100670,2898,1575,0,1425
40,-362128.0,134037.69395052083,921256.0,323.8158172231986,98500,2845,1419,0,1581
41,-332357.5,137686.60046875,873321.0,306.5359775359775,104303,2849,1410,0,1590
42,-310785.0,141740.84602604166,835436.0,295.41584158415844,106933,2828,1471,0,1529
43,-260273.0,146542.8376393229,740022.0,253.95401509951955,109738,2914,1438,0,1562
44,-326425.5,151074.884890625,870587.0,298.65763293310465,108868,2915,1456,0,1544
45,-295708.5,152876.28452473957,812229.0,278.92479395604397,110406,2912,1402,0,1598
46,-319232.5,149045.504625,852621.0,302.8849023090586,107078,2815,1456,0,1544
47,-335668.0,148998.06973046876,891610.0,308.8361621059924,110137,2887,1421,0,1579
48,-358201.5,150273.45409895835,922731.0,326.51486199575373,103164,2826,1348,0,1652
49,-340642.0,158618.27196614584,905584.0,316.195530726257,112150,2864,1349,0,1651
50,-331202.5,169748.83919270834,861853.0,305.1887393767705,99724,2824,1353,0,1647
51,-299316.0,175981.32593489584,788364.0,277.00773014757556,94866,2846,1546,0,1454
52,-288225.5,174882.517890625,763755.0,269.8780918727915,93652,2830,1480,0,1520
53,-290166.0,173809.2027109375,765606.0,271.2029755579171,92637,2823,1536,0,1464
54,-339758.5,166750.98648697918,885361.0,303.10201985621364,102922,2921,1501,0,1499
55,-254276.5,168900.23579557292,725051.0,245.36412859560068,108249,2955,1603,0,1397
56,-313739.0,165276.1222421875,857068.0,291.6189179993195,114795,2939,1500,0,1500
57,-328768.5,166794.83880989582,882287.0,308.92401960784315,112375,2856,1420,0,1580
58,-455107.5,179299.5561484375,1136361.0,408.61596548004314,113073,2781,1283,0,1717
59,-316803.0,196944.92797395834,850960.0,291.92452830188677,108677,2915,1419,0,1581
60,-334497.0,208013.93779166666,872810.0,302.2195290858726,101908,2888,1364,0,1636
61,-288026.5,206562.38923958334,793523.0,268.7175753471046,108735,2953,1459,0,1541
62,-415664.5,204755.98458854167,1049911.0,372.8377130681818,109291,2816,1341,0,1659
63,-276004.0,206047.68962239585,775122.0,263.0206990159484,111557,2947,1525,0,1475
64,-323823.5,203643.65051822917,855965.0,295.9768326417704,104159,2892,1538,0,1462
65,-302944.5,203119.3708828125,801355.0,279.70506108202443,97733,2865,1428,0,1572
66,-317667.0,206916.47178645834,847542.0,296.3433566433566,106104,2860,1313,0,1687
67,-327737.0,210920.94941927082,878022.0,308.5108924806746,111274,2846,1373,0,1627
68,-299452.5,213843.22503645835,823933.0,284.2128320110383,112514,2899,1425,0,1575
69,-278998.0,207723.3631484375,784150.0,267.6279863481229,113077,2930,1464,0,1536
70,-302443.0,199819.76902604167,832612.0,285.43435035995884,113863,2917,1486,0,1514
71,-378607.0,194972.97401302084,975610.0,338.1663778162912,109198,2885,1420,0,1580
72,-247480.5,194513.91064583333,708263.0,240.33355955208688,106651,2947,1657,0,1343
73,-341715.5,206035.9366796875,869139.0,309.5224358974359,92854,2808,1500,0,1500
74,-410500.0,220094.49540885416,1014470.0,364.78604818410645,96735,2781,1413,0,1587
75,-396498.0,237053.29348958333,982180.0,350.653338093538,94592,2801,1558,0,1442
76,-364034.0,248657.83156770834,950968.0,327.2429456297316,111450,2906,1391,0,1609
77,-400658.5,241106.12928645834,1019971.0,364.66607079013227,109327,2797,1389,0,1611
78,-427172.5,240923.58433854167,1069391.0,384.2583542939274,107523,2783,1398,0,1602
79,-375568.0,246191.37248958333,962558.0,345.8706431908013,105711,2783,1405,0,1595
80,-396285.5,258296.28765364582,1000849.0,364.2099708879185,104139,2748,1263,0,1737
81,-469741.0,261589.08491927083,1159700.0,421.86249545289195,110109,2749,1190,0,1810
82,-614473.0,256808.050625,1445382.0,525.9759825327511,108218,2748,1229,0,1771
