Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-425736.0,1024772.0,375.7873120645398,86650,2727,1401,0,1599
2,-501559.5,1177441.0,435.60525342212355,87161,2703,1348,0,1652
3,-378646.5,958063.0,345.7463009743775,100385,2771,1387,0,1613
4,-376630.0,936048.0,339.8867102396514,91394,2754,1442,0,1558
5,-389934.0,993062.0,362.5637093829865,106597,2739,1385,0,1615
6,-435054.0,1081950.0,405.68053993250845,105921,2667,1410,0,1590
7,-327084.0,862530.0,311.2702995308553,104181,2771,1462,0,1538
8,-288413.0,789434.0,271.4697386519945,106304,2908,1539,0,1461
9,-294065.5,812219.0,285.99260563380284,112044,2840,1523,0,1477
10,-266068.0,747674.0,258.6212383258388,107769,2891,1604,0,1396
11,-276844.0,767908.0,264.7958620689655,107110,2900,1614,0,1386
12,-230630.0,674764.0,229.51156462585033,106752,2940,1682,0,1318
13,-227922.0,676946.0,223.78380165289255,110551,3025,1702,0,1298
14,-194845.0,615066.0,207.16268103738633,112688,2969,1734,0,1266
15,-228875.0,683612.0,225.0204081632653,112931,3038,1829,0,1171
16,-165536.5,555843.0,180.35139519792344,112385,3082,1874,0,1126
17,-161073.0,555216.0,181.85915492957747,116535,3053,1897,0,1103
18,-157472.5,556287.0,177.89798528941478,120671,3127,1959,0,1041
19,-115823.5,438667.0,142.23962386511025,103510,3084,2011,0,989
20,-125099.5,485809.0,153.44567277321542,117805,3166,2021,0,979
21,-161888.0,569280.0,179.52696310312206,122752,3171,2079,0,921
22,-75938.5,381687.0,119.80131826741996,114905,3186,2098,0,902
23,-122406.0,502626.0,157.5630094043887,128907,3190,2094,0,906
24,-110101.5,452177.0,142.50772139930666,115987,3173,2186,0,814
25,-109126.5,486513.0,151.32597200622084,134130,3215,2159,0,841
26,-108695.0,477698.0,148.35341614906832,130154,3220,2174,0,826
27,-122336.0,506938.0,157.04399008674102,131133,3228,2231,0,769
28,-127858.5,538373.0,163.34132281553397,141328,3296,2271,0,729
29,-84176.5,433353.0,132.6049571603427,132500,3268,2276,0,724
30,-107619.0,495038.0,149.60350559081294,139900,3309,2303,0,697
31,-100419.5,477549.0,143.4942908653846,138355,3328,2344,0,656
32,-101827.5,492825.0,150.84940312213038,144585,3267,2381,0,619
33,-96191.0,471536.0,143.0631067961165,139577,3296,2417,0,583
34,-57618.5,384387.0,116.94158807423182,134575,3287,2440,0,560
35,-74123.5,415765.0,125.83686440677967,133759,3304,2482,0,518
36,-83713.5,440935.0,136.09104938271605,136754,3240,2459,0,541
37,-66282.0,387576.0,117.87591240875912,127506,3288,2494,0,506
38,-69119.0,414446.0,125.05914302957152,138104,3314,2509,0,491
39,-62348.5,398385.0,120.61307901907357,136844,3303,2560,0,440
40,-43987.0,348560.0,105.4325468844525,130293,3306,2573,0,427
41,-43328.5,338505.0,101.3184675246932,125924,3341,2601,0,399
42,-61000.5,398721.0,119.41329739442946,138360,3339,2594,0,406
43,-41224.5,348951.0,103.05699940933255,133251,3386,2607,0,393
44,-49398.0,365210.0,109.08303464755078,133207,3348,2592,0,408
45,-48435.0,369348.0,109.99047051816558,136239,3358,2630,0,370
46,-43221.0,336624.0,100.24538415723644,125091,3358,2672,0,328
47,-52781.0,347734.0,105.43784111582778,121086,3298,2661,0,339
48,-54593.0,358852.0,107.15198566736339,124833,3349,2655,0,345
49,-21093.0,294234.0,87.96233183856502,126024,3345,2701,0,299
50,-55354.5,372223.0,110.74769413864921,130757,3361,2702,0,298
51,-30330.0,295526.0,88.90673886883273,117433,3324,2704,0,296
52,-39727.5,351841.0,105.2156100478469,136193,3344,2712,0,288
53,-11704.5,262741.0,78.9012012012012,119666,3330,2700,0,300
54,-38912.5,328831.0,98.6,125503,3335,2725,0,275
55,-37182.5,331653.0,99.32704402515724,128644,3339,2733,0,267
56,-52850.0,372644.0,110.24970414201184,133472,3380,2745,0,255
57,-50802.0,384650.0,114.13946587537092,141523,3370,2752,0,248
58,-17573.0,306048.0,90.35961027457927,135451,3387,2773,0,227
59,-15031.5,295221.0,87.6286731967943,132579,3369,2743,0,257
60,-26878.5,339433.0,100.06869103773585,142838,3392,2783,0,217
61,-44508.5,375605.0,110.69997052755673,143294,3393,2782,0,218
62,-23478.0,320942.0,94.75701210510776,136993,3387,2769,0,231
63,-19189.5,323469.0,95.39044529637275,142545,3391,2785,0,215
64,-44394.0,363722.0,108.47658813003281,137467,3353,2800,0,200
65,-9432.5,302675.0,88.29492415402567,141905,3428,2783,0,217
66,-28522.0,330394.0,96.9750513648371,136675,3407,2792,0,208
67,-16883.0,304716.0,90.20603907637656,135475,3378,2804,0,196
68,-13622.0,310202.0,91.83007696862049,141479,3378,2763,0,237
69,-61834.5,414505.0,123.76978202448493,145418,3349,2797,0,203
70,-21469.0,328174.0,97.81639344262295,142618,3355,2801,0,199
71,-5273.5,309715.0,90.7190978324546,149584,3414,2782,0,218
72,-4021.0,292388.0,85.66891297978319,142173,3413,2775,0,225
73,-34176.5,357469.0,107.09077291791492,144558,3338,2794,0,206
74,-22776.5,339935.0,99.83406754772393,147191,3405,2779,0,221
75,-2460.5,283365.0,82.15859669469411,139222,3449,2765,0,235
76,-34083.5,353445.0,104.817615658363,142639,3372,2783,0,217
77,-1947004.0,4171684.0,1354.0032456994481,138838,3081,2791,0,209
78,-27429.5,353877.0,106.14187162567487,149509,3334,2783,0,217
79,-30568.0,330848.0,97.45154639175257,134856,3395,2792,0,208
80,-38291.5,362907.0,106.61192714453584,143162,3404,2781,0,219
