Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-60874.5,176077.0,211.6310096153846,27164,832,1946,0,1054
2,-59815.5,173675.0,208.7439903846154,27022,832,1962,0,1038
3,-41004.0,134844.0,162.0721153846154,26418,832,1907,0,1093
4,-20798.5,93607.0,112.50841346153847,26005,832,1970,0,1030
5,-29651.0,112298.0,134.97355769230768,26498,832,1913,0,1087
6,-3219.5,58141.0,69.88100961538461,25851,832,2003,0,997
7,-5606.0,61382.0,73.7764423076923,25085,832,2029,0,971
8,-4211.0,59370.0,71.35817307692308,25474,832,2033,0,967
9,-1863.5,55171.0,66.31129807692308,25722,832,2102,0,898
10,3920.0,42342.0,50.89182692307692,25091,832,2025,0,975
11,3083.5,44193.0,53.11658653846154,25180,832,2058,0,942
12,9936.0,29446.0,35.39182692307692,24659,832,2105,0,895
13,12171.5,25279.0,30.38341346153846,24811,832,2143,0,857
14,11337.5,26459.0,31.801682692307693,24567,832,2095,0,905
15,12884.5,23211.0,27.89783653846154,24490,832,2151,0,849
16,13702.5,21669.0,26.044471153846153,24537,832,2141,0,859
17,13369.0,22500.0,27.04326923076923,24619,832,2174,0,826
18,16401.0,15632.0,18.78846153846154,24217,832,2146,0,854
19,16537.5,15271.0,18.354567307692307,24173,832,2178,0,822
20,16988.5,13781.0,16.563701923076923,23879,832,2206,0,794
21,16665.0,14926.0,17.939903846153847,24128,832,2190,0,810
22,16986.5,14413.0,17.323317307692307,24193,832,2231,0,769
23,17678.0,12784.0,15.365384615384615,24070,832,2231,0,769
24,18119.5,11709.0,14.073317307692308,23974,832,2246,0,754
25,18669.5,10131.0,12.176682692307692,23735,832,2263,0,737
26,18062.0,12272.0,14.75,24198,832,2273,0,727
27,18080.5,12237.0,14.707932692307692,24199,832,2281,0,719
28,17600.0,12876.0,15.475961538461538,24038,832,2290,0,710
29,19370.5,8969.0,10.780048076923077,23855,832,2305,0,695
30,19754.0,8110.0,9.747596153846153,23809,832,2274,0,726
31,19298.5,8979.0,10.792067307692308,23788,832,2307,0,693
32,18939.0,9204.0,11.0625,23541,832,2281,0,719
33,19989.0,7714.0,9.271634615384615,23846,832,2305,0,695
34,19530.0,7444.0,8.947115384615385,23252,832,2299,0,701
35,19291.5,9069.0,10.900240384615385,23826,832,2293,0,707
36,20079.0,6688.0,8.038461538461538,23423,832,2302,0,698
37,20324.0,7524.0,9.04326923076923,24086,832,2305,0,695
38,19373.0,7830.0,9.411057692307692,23288,832,2275,0,725
39,19494.5,8227.0,9.888221153846153,23608,832,2349,0,651
40,19642.0,7230.0,8.689903846153847,23257,832,2289,0,711
41,19716.0,7260.0,8.725961538461538,23346,832,2303,0,697
42,19640.5,7653.0,9.198317307692308,23467,832,2279,0,721
43,20126.5,6173.0,7.419471153846154,23213,832,2322,0,678
44,19160.0,8900.0,10.697115384615385,23610,832,2321,0,679
45,19857.0,6826.0,8.204326923076923,23270,832,2294,0,706
46,20187.0,6044.0,7.264423076923077,23209,832,2313,0,687
47,19414.5,8027.0,9.647836538461538,23428,832,2284,0,716
48,19715.0,7566.0,9.09375,23498,832,2293,0,707
49,19856.5,7463.0,8.969951923076923,23588,832,2301,0,699
50,20343.0,6064.0,7.288461538461538,23375,832,2315,0,685
51,20291.5,5635.0,6.772836538461538,23109,832,2330,0,670
52,19176.5,8569.0,10.299278846153847,23461,832,2301,0,699
53,19718.5,7431.0,8.931490384615385,23434,832,2298,0,702
54,19860.5,7021.0,8.438701923076923,23371,832,2327,0,673
55,19914.5,7295.0,8.768028846153847,23562,832,2287,0,713
56,19635.5,6925.0,8.323317307692308,23098,832,2286,0,714
57,19388.0,7536.0,9.057692307692308,23156,832,2302,0,698
58,20093.0,7544.0,9.067307692307692,23865,832,2354,0,646
59,20014.5,6355.0,7.638221153846154,23192,832,2322,0,678
60,20265.5,5695.0,6.844951923076923,23113,832,2415,0,585
61,20368.0,5906.0,7.0985576923076925,23321,832,2306,0,694
62,20202.5,6389.0,7.679086538461538,23397,832,2336,0,664
63,19826.0,6650.0,7.992788461538462,23151,832,2337,0,663
64,19729.5,6879.0,8.268028846153847,23169,832,2385,0,615
65,20519.5,5281.0,6.347355769230769,23160,832,2359,0,641
66,19459.0,7936.0,9.538461538461538,23427,832,2365,0,635
67,20246.5,6333.0,7.611778846153846,23413,832,2389,0,611
68,20256.0,6332.0,7.610576923076923,23422,832,2380,0,620
69,20046.5,6385.0,7.674278846153846,23239,832,2341,0,659
70,20437.5,5363.0,6.445913461538462,23119,832,2404,0,596
71,19625.5,7131.0,8.570913461538462,23191,832,2340,0,660
72,19984.0,6444.0,7.7451923076923075,23206,832,2365,0,635
73,20143.0,6670.0,8.016826923076923,23478,832,2373,0,627
74,20052.5,7095.0,8.52764423076923,23600,832,2361,0,639
75,19654.5,7483.0,8.993990384615385,23396,832,2307,0,693
76,18971.5,9035.0,10.859375,23489,832,2330,0,670
77,20356.0,5978.0,7.185096153846154,23345,832,2313,0,687
78,20580.0,5306.0,6.377403846153846,23233,832,2297,0,703
79,20277.0,6386.0,7.675480769230769,23470,832,2314,0,686
80,20398.0,5496.0,6.605769230769231,23146,832,2298,0,702
81,20537.0,6220.0,7.475961538461538,23647,832,2329,0,671
82,20434.5,5809.0,6.981971153846154,23339,832,2299,0,701
83,20235.5,6123.0,7.359375,23297,832,2336,0,664
84,19977.5,6127.0,7.3641826923076925,23041,832,2281,0,719
85,20313.0,6286.0,7.555288461538462,23456,832,2279,0,721
86,20455.0,5748.0,6.908653846153846,23329,832,2310,0,690
87,20435.5,6443.0,7.743990384615385,23657,832,2309,0,691
88,20464.0,5218.0,6.271634615384615,23073,832,2299,0,701
89,20145.0,6118.0,7.353365384615385,23204,832,2322,0,678
90,20688.0,5092.0,6.1201923076923075,23234,832,2313,0,687
91,19922.0,6880.0,8.26923076923077,23362,832,2292,0,708
92,19258.0,8684.0,10.4375,23600,832,2336,0,664
93,20351.5,5723.0,6.878605769230769,23213,832,2340,0,660
94,20203.5,6007.0,7.219951923076923,23207,832,2315,0,685
95,20642.0,5684.0,6.831730769230769,23484,832,2318,0,682
96,20770.0,5164.0,6.206730769230769,23352,832,2323,0,677
97,20475.5,5333.0,6.409855769230769,23142,832,2304,0,696
98,20606.0,5108.0,6.139423076923077,23160,832,2301,0,699
99,20056.5,6735.0,8.094951923076923,23424,832,2318,0,682
100,20077.0,6612.0,7.947115384615385,23383,832,2347,0,653
101,20434.5,4821.0,5.794471153846154,22845,832,2281,0,719
102,20150.0,5786.0,6.954326923076923,23043,832,2299,0,701
103,20175.0,6406.0,7.699519230769231,23378,832,2322,0,678
104,20109.5,6455.0,7.758413461538462,23337,832,2330,0,670
