Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-2169601.5,101490.69161240211,4674869.0,1838.3283523397563,167833,2543,1891,0,1109
2,-1952744.0,80884.42696223958,4231438.0,1683.1495624502784,162975,2514,1830,0,1170
3,-2117721.5,71389.84647395833,4560757.0,1852.4601949634443,162657,2462,1820,0,1180
4,-2032559.0,72372.35083789063,4396320.0,1758.528,165601,2500,1851,0,1149
5,-1681862.5,75220.61802148438,3713323.0,1431.504626060139,174799,2594,1891,0,1109
6,-1754915.5,79047.71316015624,3862893.0,1447.3184713375797,176531,2669,1915,0,1085
7,-1856860.0,86906.44126367188,4059848.0,1587.1180609851447,173064,2558,1885,0,1115
8,-1846553.0,90644.05272135416,4034894.0,1560.887427466151,170894,2585,1903,0,1097
9,-1871823.5,100873.63006770833,4082701.0,1592.9383534920016,169527,2563,1877,0,1123
10,-1752523.5,114868.05145833333,3849663.0,1478.9331540530156,172308,2603,1882,0,1118
11,-1758190.5,136075.51221354166,3863639.0,1485.4436755094196,173629,2601,1902,0,1098
12,-1547988.0,159050.136046875,3451864.0,1300.137099811676,177944,2655,1920,0,1080
13,-1684899.5,178358.59482552082,3724213.0,1414.9745440729482,177207,2632,1928,0,1072
14,-1629755.0,194131.50264583333,3619784.0,1351.6743838685586,180137,2678,1956,0,1044
15,-1540358.0,206157.51454166666,3438538.0,1261.3859134262657,178911,2726,1964,0,1036
16,-1538916.0,217491.69031770833,3436462.0,1275.5983667409057,179315,2694,1933,0,1067
17,-1469547.0,240732.79274479166,3325036.0,1178.2551381998583,192971,2822,1941,0,1059
18,-1702056.0,258984.17128385417,3766908.0,1370.7816593886462,181398,2748,1923,0,1077
19,-1632225.5,278688.81677604164,3618661.0,1353.2763649962603,177105,2674,1873,0,1127
20,-1513855.5,302741.50746875,3384429.0,1282.466464569913,178359,2639,1837,0,1163
21,-1486325.5,334329.7344427083,3340517.0,1226.7781858244582,183933,2723,1972,0,1028
22,-1492305.5,356426.86361458333,3346303.0,1241.6708719851576,180846,2695,1944,0,1056
23,-1591597.0,381542.2909791667,3548850.0,1301.3751375137513,182828,2727,1913,0,1087
24,-1568142.5,412009.59678125,3489981.0,1316.973962264151,176848,2650,1945,0,1055
25,-1514746.0,435479.37597395835,3394250.0,1234.2727272727273,182379,2750,2000,0,1000
26,-1580373.5,446544.34673958336,3534757.0,1273.7863063063064,187005,2775,2009,0,991
27,-1451160.5,438991.4379791667,3267253.0,1201.637734461199,182466,2719,1883,0,1117
28,-1744923.5,457235.195390625,3841861.0,1430.3279970215935,176007,2686,1943,0,1057
29,-1383496.0,476503.65544791665,3127986.0,1161.9561664190194,180497,2692,1911,0,1089
30,-1453702.5,524436.7965104167,3284475.0,1173.4458735262594,188535,2799,1985,0,1015
31,-1512002.5,556646.4634427084,3405989.0,1216.4246428571428,190992,2800,1939,0,1061
32,-1479619.5,578941.994359375,3316737.0,1250.1835657745949,178749,2653,1879,0,1121
33,-1590111.5,574671.0525833333,3547569.0,1309.5492801771873,183673,2709,1978,0,1022
34,-1617180.5,603567.4315520833,3594439.0,1360.499242997729,180039,2642,1920,0,1080
35,-1581389.0,623719.6130052083,3528554.0,1318.1001120657452,182888,2677,1927,0,1073
36,-1527257.0,647873.3336822917,3422154.0,1257.2204261572374,183820,2722,1985,0,1015
37,-1373220.5,656700.567984375,3124253.0,1118.2007874015749,188906,2794,2016,0,984
38,-1347524.5,646717.6160052083,3061343.0,1120.1401390413464,183147,2733,1925,0,1075
39,-1438433.0,695103.6952083333,3246216.0,1179.5843023255813,184675,2752,1986,0,1014
40,-1442369.0,696359.4712760417,3266812.0,1161.7396870554765,191037,2812,1976,0,1024
41,-1436090.0,733322.4866770833,3262024.0,1155.1076487252124,194922,2824,2032,0,968
42,-1375677.5,756817.7710104167,3121613.0,1144.7059039237256,185129,2727,2048,0,952
43,-1474233.5,782927.4950833333,3315427.0,1212.2219378427787,183480,2735,1972,0,1028
44,-1525289.5,814112.6295104166,3454815.0,1214.7732067510549,202118,2844,2022,0,978
45,-1574640.0,803610.4808541667,3511854.0,1291.5976461934536,181287,2719,1896,0,1104
46,-1336965.0,827500.7061145833,3048660.0,1093.8858988159311,187365,2787,2000,0,1000
47,-1479656.5,820505.0263020833,3325325.0,1217.1760614934115,183006,2732,1995,0,1005
48,-1431596.5,845305.6622604167,3224813.0,1201.9429742825196,180810,2683,2019,0,981
49,-1458733.5,890971.0722604167,3282487.0,1215.7359259259258,182510,2700,1996,0,1004
50,-1421959.0,916764.1869895833,3210560.0,1182.9624170965365,183321,2714,1993,0,1007
51,-1516804.5,921607.0156979166,3403741.0,1245.4229784120014,185066,2733,2016,0,984
52,-1378735.5,905084.5653020834,3136205.0,1130.979084024522,189367,2773,1967,0,1033
53,-1367120.5,861828.96059375,3117983.0,1135.8772313296904,191871,2745,1967,0,1033
54,-1658684.0,892295.7501666667,3696450.0,1334.9404117009751,189541,2769,1955,0,1045
55,-1300157.5,942239.2393229167,2982897.0,1054.3997879109227,191291,2829,1916,0,1084
56,-1390829.5,948521.8891458333,3172389.0,1100.3777315296566,195365,2883,2023,0,977
57,-1277280.5,988476.97215625,2943357.0,1041.8962831858407,194398,2825,1973,0,1027
58,-1532798.5,989182.70865625,3439103.0,1229.1290207290922,186753,2798,2049,0,951
59,-1392094.0,1000724.9244583333,3170930.0,1100.2532963219985,193371,2882,2075,0,925
60,-1317868.0,993982.3318229166,3007660.0,1081.1143062544932,185962,2782,1940,0,1060
