Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-2301926.0,4916976.0,2028.4554455445545,156562,2424,1872,0,1128
2,-2127712.0,4570160.0,1931.5976331360946,157368,2366,1864,0,1136
3,-2036853.5,4400807.0,1768.8131028938906,163550,2488,1819,0,1181
4,-1903741.0,4142910.0,1623.3973354231975,167714,2552,1856,0,1144
5,-1788468.0,3922222.0,1520.2410852713178,172643,2580,1862,0,1138
6,-1971437.0,4282398.0,1680.6899529042387,169762,2548,1872,0,1128
7,-1816855.0,3984360.0,1527.7453987730062,175325,2608,1870,0,1130
8,-1732799.0,3821782.0,1428.1696562032885,178092,2676,1913,0,1087
9,-1481401.5,3335023.0,1220.2791803878522,186110,2733,1947,0,1053
10,-1769480.0,3897862.0,1452.799850913157,179451,2683,1951,0,1049
11,-1450213.0,3290054.0,1183.8985246491543,194814,2779,1927,0,1073
12,-1613376.5,3605175.0,1301.037531577048,189211,2771,1990,0,1010
13,-1533408.0,3445308.0,1246.944625407166,189246,2763,2013,0,987
14,-1679781.0,3741456.0,1340.0630372492838,190947,2792,1982,0,1018
15,-1745497.5,3870935.0,1396.4411976911977,189970,2772,2012,0,988
16,-1487639.5,3371595.0,1178.0555555555557,198158,2862,2087,0,913
17,-1612787.0,3648602.0,1273.5085514834207,211514,2865,2049,0,951
18,-4270517.5,8909309.0,3372.183573050719,184137,2642,2025,0,975
19,-1655361.5,3712693.0,1313.2978422355854,200985,2827,2063,0,937
20,-1453141.0,3314384.0,1136.2303736715803,204051,2917,2062,0,938
21,-1902602.5,4218647.0,1464.299548767789,206721,2881,2044,0,956
22,-1697139.0,3801068.0,1306.2089347079038,203395,2910,2120,0,880
23,-1776940.5,3950895.0,1391.650228953857,198507,2839,2078,0,922
24,-1471420.0,3358848.0,1136.6659898477158,208004,2955,2112,0,888
25,-1509610.5,3422031.0,1190.271652173913,201405,2875,2084,0,916
26,-1779451.5,3966673.0,1383.562260202302,203885,2867,2064,0,936
27,-1584852.5,3569685.0,1230.501551189245,199990,2901,2034,0,966
28,-1640220.5,3682475.0,1262.4185807336305,201017,2917,2082,0,918
29,-1542168.5,3489199.0,1191.2594742232843,202431,2929,2085,0,915
30,-1479646.0,3353706.0,1162.4630849220105,197207,2885,2061,0,939
31,-1661632.5,3724643.0,1297.7850174216028,200689,2870,2049,0,951
32,-1504385.5,3399513.0,1180.3864583333334,195371,2880,2085,0,915
33,-1589247.0,3566476.0,1243.9748866410882,193991,2867,2092,0,908
34,-1525745.0,3454512.0,1185.8949536560247,201511,2913,2081,0,919
35,-1631887.0,3656016.0,1249.92,196121,2925,2091,0,909
36,-1670488.0,3721284.0,1321.948134991119,190154,2815,2062,0,938
37,-1456637.0,3314950.0,1123.7118644067796,200838,2950,2097,0,903
38,-1580682.0,3554794.0,1230.032525951557,196715,2890,2063,0,937
39,-1481593.0,3358288.0,1148.9182346903865,197551,2923,2036,0,964
40,-1649323.5,3703007.0,1259.9547465124192,202180,2939,2039,0,961
41,-1614352.0,3612582.0,1241.8638707459609,191939,2909,2063,0,937
42,-1736271.5,3876717.0,1326.7340862422998,202087,2922,2008,0,992
43,-1521181.0,3438534.0,1168.7743031951054,198086,2942,1959,0,1041
44,-1481112.5,3368237.0,1147.2196866485015,203006,2936,1970,0,1030
45,-1618536.5,3638819.0,1236.4318722392118,200873,2943,1922,0,1078
46,-1575706.5,3544913.0,1224.9181064270906,196750,2894,1923,0,1077
47,-1270329.0,2936032.0,1016.9837201246969,197687,2887,1944,0,1056
48,-1429494.0,3257042.0,1120.799036476256,199027,2906,1941,0,1059
49,-1757298.5,3914423.0,1373.963846963847,199913,2849,1925,0,1075
50,-1556320.5,3516525.0,1235.168598524763,201942,2847,1865,0,1135
51,-1569808.0,3542492.0,1235.178521617852,201438,2868,1907,0,1093
52,-1420850.0,3231540.0,1142.6944837340877,194920,2828,1813,0,1187
53,-1453727.0,3293002.0,1172.72150997151,192774,2808,1897,0,1103
54,-1444974.5,3302131.0,1138.6658620689655,206091,2900,1870,0,1130
55,-1363451.5,3132513.0,1082.0424870466322,202805,2895,1799,0,1201
56,-1529833.0,3461810.0,1218.5181274199226,201072,2841,1835,0,1165
57,-1648557.0,3692358.0,1297.8411247803162,197622,2845,1794,0,1206
58,-1441185.0,3272500.0,1144.6309898565933,195065,2859,1778,0,1222
59,-1467798.0,3333760.0,1175.1004582305252,199082,2837,1749,0,1251
60,-1537760.0,3473268.0,1226.4364406779662,198874,2832,1808,0,1192
61,-1518744.0,3426212.0,1225.8361359570663,194362,2795,1728,0,1272
62,-1541338.0,3470012.0,1243.286277319957,193668,2791,1761,0,1239
63,-1392592.5,3183909.0,1122.675952045134,199362,2836,1739,0,1261
64,-1634408.5,3662429.0,1301.9655172413793,196806,2813,1730,0,1270
65,-1336622.5,3069811.0,1091.294347671525,198283,2813,1747,0,1253
66,-1372755.5,3140981.0,1115.405184659091,197735,2816,1722,0,1278
67,-1401049.0,3187136.0,1159.3801382320844,192519,2749,1685,0,1315
68,-1361293.5,3119995.0,1107.166430092264,198704,2818,1700,0,1300
69,-1433212.5,3253365.0,1175.7734007950849,193470,2767,1663,0,1337
70,-1373835.0,3138192.0,1131.2876712328766,195261,2774,1691,0,1309
71,-1462429.5,3310253.0,1190.3103200287667,192697,2781,1714,0,1286
72,-1367318.5,3126435.0,1114.9910841654778,195899,2804,1640,0,1360
73,-1541140.5,3468599.0,1242.7800071658903,193159,2791,1663,0,1337
74,-1476379.5,3342903.0,1191.341054882395,195072,2806,1647,0,1353
75,-1463718.5,3304475.0,1209.9871841816184,188519,2731,1689,0,1311
76,-1386183.0,3171634.0,1127.4916459296126,199634,2813,1701,0,1299
77,-1398397.0,3187862.0,1127.2496463932107,195534,2828,1680,0,1320
78,-1375279.5,3149737.0,1123.7021048876204,199589,2803,1602,0,1398
79,-1438301.0,3275960.0,1166.2370950516197,199679,2809,1688,0,1312
